path	component	upstream_revision	license	distribution_scope	modified_output	license_text	license_sha256	patch_sha256
crates/bridgevm-hvf/firmware/patches/0001-armvirt-process-tpm-ppi.patch	TianoCore EDK2	b03a21a63e3bd001f52c527e5a57feddb53a690b	BSD-2-Clause-Patent	product-bundled	edk2-aarch64-secure-code.fd	crates/bridgevm-hvf/firmware/edk2-licenses.txt	e618ef6eb85ad91703bd9284b7bc3f2f743aeb014622fd87156990aede0be0f9	400493912254bfe03336a8112b7fb56a42ca8bae9610d6c1bda92d250c046b14
scripts/patches/dxvk-macos-venus-relax.patch	DXVK	6b20f622a77b87b2921fe5d2c1774d2f2ba3e9b7	Zlib	internal-validation-only	title-local D3D11 validation DLLs; absent from product and public CI artifacts	docs/licenses/DXVK-zlib.txt	a5cb1a6ded7d2d7e92d550ba28edd21be2d1d4044662b399887351023e30ce64	c8e8b7b526ebe04aad80c2ad2edf7977ec7b6f527e35d6bd5052bca174bd775b
scripts/patches/virglrenderer-macos-venus-bv-draw-probes.patch	virglrenderer	2a173eef8c044abeddd2a9e842f52659bedd5376	MIT	internal-validation-only	diagnostic renderer build only; not applied by the product build	docs/licenses/virglrenderer-MIT.txt	5cf703b0e00586e4db0240c3d01ef4537c5b964fbbdabd24688f52dab05595b4	4a03c517dc575e9eadbe96617baae66515e37b3ba83d80b936d227fb3216a30c
scripts/patches/virglrenderer-macos-venus.patch	virglrenderer	2a173eef8c044abeddd2a9e842f52659bedd5376	MIT	product-bundled	libvirglrenderer dylib and render server	docs/licenses/virglrenderer-MIT.txt	5cf703b0e00586e4db0240c3d01ef4537c5b964fbbdabd24688f52dab05595b4	de888187ca64a94fb07fce59cd4d81bc309f4d0373d9c9b5ba27156b851fa095
scripts/patches/virtio-win-mesa-submit-trace.patch	Mesa virgl GDI winsys	cb531c440ff34a9c6334859dda0848132be49ec3	MIT	graphics-lab-artifact	Windows ARM64 UMD CI and Graphics Lab payload; absent from General Preview	docs/licenses/Mesa-patched-files-MIT.txt	53c2b2ba055ede86281ff2af94129d98ae2c92389abb709d2c1ac08596d5d4a7	e16945cbf685853fbcfa9246f6e74b74d433ffa3b1734488ae679b20a42fed74
scripts/patches/virtio-win-mesa-unbound-clear.patch	Mesa virgl driver	cb531c440ff34a9c6334859dda0848132be49ec3	MIT	graphics-lab-artifact	Windows ARM64 UMD CI and Graphics Lab payload; absent from General Preview	docs/licenses/Mesa-patched-files-MIT.txt	53c2b2ba055ede86281ff2af94129d98ae2c92389abb709d2c1ac08596d5d4a7	a1bb2cb24d0c7467f22e7872b492b5e2f07630670e0b4fdfa869e8fd8385854c
